"タイトル","説明","品物番号","定価","note",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型1灯器具相当　Hf32形定格出力型・2500 lm","LED（昼光色）　<br>色温度：6500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2500 lmタイプ・昼光色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4200ED LA9","22800","受注品",
"40形　ライトバー　Hf蛍光灯32形定格出力型1灯器具相当　Hf32形定格出力型・2500 lm","LED（昼光色）　<br>色温度：6500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2500 lmタイプ・昼光色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4200ED LE9","19800","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型1灯器具相当　Hf32形定格出力型・2500 lm","LED（電球色）　<br>色温度：3000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2500 lmタイプ・電球色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4200EL LA9","22800","受注品",
"40形　ライトバー　Hf蛍光灯32形定格出力型1灯器具相当　Hf32形定格出力型・2500 lm","LED（電球色）　<br>色温度：3000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2500 lmタイプ・電球色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4200EL LE9","19800","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型1灯器具相当　Hf32形定格出力型・2500 lm","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2500 lmタイプ・昼白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4200EN LA9","22800","",
"40形　ライトバー　Hf蛍光灯32形定格出力型1灯器具相当　Hf32形定格出力型・2500 lm","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2500 lmタイプ・昼白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4200EN LE9","19800","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型1灯器具相当　Hf32形定格出力型・2500 lm","LED（温白色）　<br>色温度：3500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2500 lmタイプ・温白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4200EV LA9","22800","受注品",
"40形　ライトバー　Hf蛍光灯32形定格出力型1灯器具相当　Hf32形定格出力型・2500 lm","LED（温白色）　<br>色温度：3500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2500 lmタイプ・温白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4200EV LE9","19800","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型1灯器具相当　Hf32形定格出力型・2500 lm","LED（白色）　<br>色温度：4000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2500 lmタイプ・白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4200EW LA9","22800","受注品",
"40形　ライトバー　Hf蛍光灯32形定格出力型1灯器具相当　Hf32形定格出力型・2500 lm","LED（白色）　<br>色温度：4000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2500 lmタイプ・白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4200EW LE9","19800","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（昼光色）　<br>色温度：6500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・3200 lmタイプ・昼光色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4300ED LA9","23300","",
"40形　ライトバー　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（昼光色）　<br>色温度：6500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・3200 lmタイプ・昼光色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4300ED LE9","20300","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（電球色）　<br>色温度：3000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・3200 lmタイプ・電球色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4300EL LA9","23300","",
"40形　ライトバー　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（電球色）　<br>色温度：3000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・3200 lmタイプ・電球色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4300EL LE9","20300","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・3200 lmタイプ・昼白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4300EN LA9","23300","",
"40形　ライトバー　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・3200 lmタイプ・昼白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4300EN LE9","20300","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（温白色）　<br>色温度：3500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・3200 lmタイプ・温白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4300EV LA9","23300","",
"40形　ライトバー　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（温白色）　<br>色温度：3500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・3200 lmタイプ・温白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4300EV LE9","20300","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（白色）　<br>色温度：4000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・3200 lmタイプ・白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4300EW LA9","23300","",
"40形　ライトバー　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（白色）　<br>色温度：4000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・3200 lmタイプ・白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4300EW LE9","20300","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（昼光色）　<br>色温度：6500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・4000 lmタイプ・昼光色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4400ED LA9","25100","受注品",
"40形　ライトバー　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（昼光色）　<br>色温度：6500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・4000 lmタイプ・昼光色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4400ED LE9","22100","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（電球色）　<br>色温度：3000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・4000 lmタイプ・電球色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4400EL LA9","25100","受注品",
"40形　ライトバー　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（電球色）　<br>色温度：3000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・4000 lmタイプ・電球色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4400EL LE9","22100","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・4000 lmタイプ・昼白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4400EN LA9","25100","",
"40形　ライトバー　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・4000 lmタイプ・昼白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4400EN LE9","22100","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（温白色）　<br>色温度：3500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・4000 lmタイプ・温白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4400EV LA9","25100","受注品",
"40形　ライトバー　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（温白色）　<br>色温度：3500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・4000 lmタイプ・温白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4400EV LE9","22100","",
