"タイトル","説明","品物番号","定価",
"天井埋込型　LED（昼白色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ100　パネル付型　110Vダイクール電球80形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：565 lm　<br>電圧：100 V　<br>消費電力：6.5 W　<br>消費効率：86.9 lm/W<br>【アルミ枠】プラチナメタリック<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>【適合リニューアルプレート】LGK02010<br>【適合リニューアルプレート】LGK02011<br>集光タイプ（ビーム角24度）<br>80形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：565 lm、調光時：165 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.12 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED3122N CT1","23200",
"天井埋込型　LED（電球色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ150　パネル付型　110Vダイクール電球80形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ150 mm　<br>埋込高：80 mm<br>器具光束：565 lm　<br>電圧：100 V　<br>消費電力：6.5 W　<br>消費効率：86.9 lm/W<br>【アルミ枠】プラチナメタリック<br>天井埋込型、埋込穴φ150、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>80形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：565 lm、調光時：165 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.12 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED3222L CT1","26500",
"天井埋込型　LED（昼白色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ150　パネル付型　110Vダイクール電球80形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ150 mm　<br>埋込高：80 mm<br>器具光束：565 lm　<br>電圧：100 V　<br>消費電力：6.5 W　<br>消費効率：86.9 lm/W<br>【アルミ枠】プラチナメタリック<br>天井埋込型、埋込穴φ150、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>80形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：565 lm、調光時：165 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.12 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED3222N CT1","26500",
"天井埋込型　LED（電球色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ150　パネル付型　110Vダイクール電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ150 mm　<br>埋込高：80 mm<br>器具光束：330 lm　<br>電圧：100 V　<br>消費電力：3.9 W　<br>消費効率：84.6 lm/W<br>【アルミ枠】ブラックつや消し<br>天井埋込型、埋込穴φ150、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>60形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：330 lm、調光時：95 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED1221L CT1","24300",
"天井埋込型　LED（電球色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ100　パネル付型　110Vダイクール電球80形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：540 lm　<br>電圧：100 V　<br>消費電力：6.5 W　<br>消費効率：83 lm/W<br>【アルミ枠】ブラックつや消し<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>【適合リニューアルプレート】LGK02010<br>【適合リニューアルプレート】LGK02011<br>集光タイプ（ビーム角24度）<br>80形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：540 lm、調光時：160 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.12 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED3121L CT1","23200",
"天井埋込型　LED（昼白色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ100　パネル付型　110Vダイクール電球80形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：540 lm　<br>電圧：100 V　<br>消費電力：6.5 W　<br>消費効率：83 lm/W<br>【アルミ枠】ブラックつや消し<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>【適合リニューアルプレート】LGK02010<br>【適合リニューアルプレート】LGK02011<br>集光タイプ（ビーム角24度）<br>80形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：540 lm、調光時：160 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.12 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED3121N CT1","23200",
"天井埋込型　LED（電球色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ150　パネル付型　110Vダイクール電球80形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ150 mm　<br>埋込高：80 mm<br>器具光束：540 lm　<br>電圧：100 V　<br>消費電力：6.5 W　<br>消費効率：83 lm/W<br>【アルミ枠】ブラックつや消し<br>天井埋込型、埋込穴φ150、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>80形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：540 lm、調光時：160 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.12 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED3221L CT1","26500",
"天井埋込型　LED（昼白色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ150　パネル付型　110Vダイクール電球80形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ150 mm　<br>埋込高：80 mm<br>器具光束：540 lm　<br>電圧：100 V　<br>消費電力：6.5 W　<br>消費効率：83 lm/W<br>【アルミ枠】ブラックつや消し<br>天井埋込型、埋込穴φ150、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>80形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：540 lm、調光時：160 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.12 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED3221N CT1","26500",
"天井埋込型　LED（電球色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ100　パネル付型　110Vダイクール電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：320 lm　<br>電圧：100 V　<br>消費電力：3.9 W　<br>消費効率：82 lm/W<br>【アルミ枠】ブラックつや消し<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>【適合リニューアルプレート】LGK02010<br>【適合リニューアルプレート】LGK02011<br>集光タイプ（ビーム角24度）<br>60形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：320 lm、調光時：95 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED1121L CT1","21000",
"天井埋込型　LED（電球色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・拡散タイプ（マイルド配光）　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ100　パネル付型　白熱電球80形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：500 lm　<br>電圧：100 V　<br>消費電力：6.7 W　<br>消費効率：74.6 lm/W<br>【アルミ枠】ホワイトつや消し<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・拡散タイプ（マイルド配光）<br>Ra83<br>【適合リニューアルプレート】LGK02010<br>【適合リニューアルプレート】LGK02011<br>80形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：500 lm、調光時：150 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.13 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED3100L CT1","21000",
"天井埋込型　LED（昼白色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・拡散タイプ（マイルド配光）　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ100　パネル付型　白熱電球80形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：500 lm　<br>電圧：100 V　<br>消費電力：6.7 W　<br>消費効率：74.6 lm/W<br>【アルミ枠】ホワイトつや消し<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・拡散タイプ（マイルド配光）<br>Ra83<br>【適合リニューアルプレート】LGK02010<br>【適合リニューアルプレート】LGK02011<br>80形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：500 lm、調光時：150 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.13 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED3100N CT1","21000",
